driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Kyle Larson,36,22,9,1,36,12.0,76,197,121,77,39.1,22,270,65.4,51.0,12.3,413,91.8,2022,14
Alex Bowman,9,17,10,2,31,15.0,-16,172,188,92,53.5,14,219,53.0,0.0,0.0,413,76.8,2022,14
Harrison Burton,17,24,11,7,32,24.0,-49,101,150,4,4.0,0,13,3.1,0.0,0.0,413,55.8,2022,14
Martin Truex Jr,14,2,12,2,34,13.0,50,151,101,90,59.6,1,335,81.1,0.0,0.0,413,80.6,2022,14
Ty Dillon,28,16,13,7,32,23.0,-74,93,167,11,11.8,0,32,7.7,0.0,0.0,413,56.7,2022,14
Erik Jones,25,9,14,2,26,13.0,3,182,179,121,66.5,0,300,72.6,0.0,0.0,413,77.3,2022,14
Ross Chastain,22,7,15,1,25,4.0,10,83,73,59,71.1,66,380,92.0,153.0,37.0,413,121.3,2022,14
Todd Gilliland,30,20,16,3,33,21.0,-30,117,147,5,4.3,0,32,7.7,0.0,0.0,413,57.3,2022,14
Aric Almirola,24,13,17,6,31,17.0,-11,186,197,72,38.7,0,192,46.6,0.0,0.0,412,59.8,2022,14
Cody Ware,33,23,18,6,36,27.0,-35,9,44,0,0.0,0,3,0.7,0.0,0.0,412,46.8,2022,14
