driver_name,season_year,race_number,race_season_points,wins,stage_wins,race_playoff_points,race_finish_points,race_stage_points
Kyle Busch,2022,15,46,0,0,0,35,11
Kurt Busch,2022,15,44,0,1,1,34,10
Ryan Blaney,2022,15,43,0,0,0,33,10
Aric Almirola,2022,15,43,0,0,0,32,11
Martin Truex Jr,2022,15,40,0,0,0,31,9
Erik Jones,2022,15,32,0,0,0,30,2
Ross Chastain,2022,15,35,0,0,0,29,6
Christopher Bell,2022,15,34,0,0,0,28,6
A.J. Allmendinger,2022,15,0,0,0,0,27,0
Austin Cindric,2022,15,36,0,1,1,26,10
Kyle Larson,2022,15,32,0,0,0,25,7
Alex Bowman,2022,15,24,0,0,0,24,0
Justin Haley,2022,15,23,0,0,0,23,0
Austin Dillon,2022,15,22,0,0,0,22,0
Tyler Reddick,2022,15,29,0,0,0,21,8
Zane Smith,2022,15,0,0,0,0,20,0
Michael McDowell,2022,15,19,0,0,0,19,0
William Byron,2022,15,18,0,0,0,18,0
Brad Keselowski,2022,15,17,0,0,0,17,0
Chase Elliott,2022,15,18,0,0,0,16,2
Todd Gilliland,2022,15,15,0,0,0,15,0
